Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,306
design__inferred_latch__count,0
design__instance__count,2815
design__instance__area,51967
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,1
power__internal__total,0.003577851690351963
power__switching__total,0.0009675142355263233
power__leakage__total,1.3745253113484068E-7
power__total,0.004545503295958042
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.22643051963212982
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.2343761639994853
timing__hold__ws__corner:nom_tt_025C_3v30,0.6742744331506387
timing__setup__ws__corner:nom_tt_025C_3v30,3.493411658829787
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.674274
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,11.038602
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,0
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,0
design__max_cap_violation__count__corner:nom_ss_125C_3v00,1
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-0.24951572070296216
clock__skew__worst_setup__corner:nom_ss_125C_3v00,0.2617756918660285
timing__hold__ws__corner:nom_ss_125C_3v00,1.183096987198795
timing__setup__ws__corner:nom_ss_125C_3v00,0.24657210304779545
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,0.0
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,0.0
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.593724
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,0.411013
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,0
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,0
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,1
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.21596539057258532
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.2221771995933475
timing__hold__ws__corner:nom_ff_n40C_3v60,0.29129433023518186
timing__setup__ws__corner:nom_ff_n40C_3v60,4.868957375095188
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.291294
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,14.697871
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.21482113917989376
clock__skew__worst_setup,0.22020977331576663
timing__hold__ws,0.2882083542286564
timing__setup__ws,0.1296580657316442
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.288208
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.129658
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 346.64 160.72
design__core__bbox,3.36 3.92 343.28 156.8
design__io,45
design__die__area,55712
design__core__area,51967
design__instance__count__stdcell,1280
design__instance__area__stdcell,29395.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.565666
design__instance__utilization__stdcell,0.565666
design__rows,39
design__rows:GF018hv5v_mcu_sc7,39
design__sites,23673
design__sites:GF018hv5v_mcu_sc7,23673
design__instance__count__class:tie_cell,22
design__instance__area__class:tie_cell,193.178
design__instance__count__class:buffer,3
design__instance__area__class:buffer,92.1984
design__instance__count__class:inverter,44
design__instance__area__class:inverter,386.355
design__instance__count__class:sequential_cell,176
design__instance__area__class:sequential_cell,12890.2
design__instance__count__class:multi_input_combinational_cell,502
design__instance__area__class:multi_input_combinational_cell,10894.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,78
design__instance__area__class:endcap_cell,342.451
design__instance__count__class:tap_cell,348
design__instance__area__class:tap_cell,1527.86
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,22163.9
design__violations,0
design__instance__count__class:timing_repair_buffer,75
design__instance__area__class:timing_repair_buffer,1742.99
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,22
design__instance__area__class:clock_buffer,1150.28
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,175.616
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
global_route__vias,6057
global_route__wirelength,41412
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,858
route__net__special,2
route__drc_errors__iter:0,73
route__wirelength__iter:0,23766
route__drc_errors__iter:1,13
route__wirelength__iter:1,23526
route__drc_errors__iter:2,9
route__wirelength__iter:2,23523
route__drc_errors__iter:3,0
route__wirelength__iter:3,23521
route__drc_errors,0
route__wirelength,23521
route__vias,5128
route__vias__singlecut,5128
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,630.04
design__instance__count__class:fill_cell,1535
design__instance__area__class:fill_cell,22571
timing__unannotated_net__count__corner:nom_tt_025C_3v30,28
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:nom_ss_125C_3v00,28
timing__unannotated_net_filtered__count__corner:nom_ss_125C_3v00,0
timing__unannotated_net__count__corner:nom_ff_n40C_3v60,28
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count__corner:min_tt_025C_3v30,0
design__max_fanout_violation__count__corner:min_tt_025C_3v30,0
design__max_cap_violation__count__corner:min_tt_025C_3v30,1
clock__skew__worst_hold__corner:min_tt_025C_3v30,-0.2245015070722874
clock__skew__worst_setup__corner:min_tt_025C_3v30,0.23142374782659958
timing__hold__ws__corner:min_tt_025C_3v30,0.6691346555127737
timing__setup__ws__corner:min_tt_025C_3v30,3.5178307929024326
timing__hold__tns__corner:min_tt_025C_3v30,0.0
timing__setup__tns__corner:min_tt_025C_3v30,0.0
timing__hold__wns__corner:min_tt_025C_3v30,0
timing__setup__wns__corner:min_tt_025C_3v30,0.0
timing__hold_vio__count__corner:min_tt_025C_3v30,0
timing__hold_r2r__ws__corner:min_tt_025C_3v30,0.669135
timing__hold_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__setup_vio__count__corner:min_tt_025C_3v30,0
timing__setup_r2r__ws__corner:min_tt_025C_3v30,11.187420
timing__setup_r2r_vio__count__corner:min_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_tt_025C_3v30,28
timing__unannotated_net_filtered__count__corner:min_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ss_125C_3v00,0
design__max_fanout_violation__count__corner:min_ss_125C_3v00,0
design__max_cap_violation__count__corner:min_ss_125C_3v00,1
clock__skew__worst_hold__corner:min_ss_125C_3v00,-0.24582778175546027
clock__skew__worst_setup__corner:min_ss_125C_3v00,0.25660804762945727
timing__hold__ws__corner:min_ss_125C_3v00,1.1986409981615815
timing__setup__ws__corner:min_ss_125C_3v00,0.2926134972703501
timing__hold__tns__corner:min_ss_125C_3v00,0.0
timing__setup__tns__corner:min_ss_125C_3v00,0.0
timing__hold__wns__corner:min_ss_125C_3v00,0
timing__setup__wns__corner:min_ss_125C_3v00,0.0
timing__hold_vio__count__corner:min_ss_125C_3v00,0
timing__hold_r2r__ws__corner:min_ss_125C_3v00,1.584204
timing__hold_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__setup_vio__count__corner:min_ss_125C_3v00,0
timing__setup_r2r__ws__corner:min_ss_125C_3v00,0.643214
timing__setup_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__unannotated_net__count__corner:min_ss_125C_3v00,28
timing__unannotated_net_filtered__count__corner:min_ss_125C_3v00,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,1
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.21482113917989376
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.22020977331576663
timing__hold__ws__corner:min_ff_n40C_3v60,0.2882083542286564
timing__setup__ws__corner:min_ff_n40C_3v60,4.883696252297745
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.288208
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,14.789120
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,28
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,0
design__max_fanout_violation__count__corner:max_tt_025C_3v30,0
design__max_cap_violation__count__corner:max_tt_025C_3v30,1
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.22868926843961146
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.2377792197108113
timing__hold__ws__corner:max_tt_025C_3v30,0.680483133546844
timing__setup__ws__corner:max_tt_025C_3v30,3.4640735704851195
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
timing__hold_vio__count__corner:max_tt_025C_3v30,0
timing__hold_r2r__ws__corner:max_tt_025C_3v30,0.680483
timing__hold_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__setup_vio__count__corner:max_tt_025C_3v30,0
timing__setup_r2r__ws__corner:max_tt_025C_3v30,10.861784
timing__setup_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_tt_025C_3v30,28
timing__unannotated_net_filtered__count__corner:max_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,0
design__max_fanout_violation__count__corner:max_ss_125C_3v00,0
design__max_cap_violation__count__corner:max_ss_125C_3v00,1
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.25383582065856436
clock__skew__worst_setup__corner:max_ss_125C_3v00,0.26776889796705944
timing__hold__ws__corner:max_ss_125C_3v00,1.164377072161945
timing__setup__ws__corner:max_ss_125C_3v00,0.1296580657316442
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,0.0
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,0.0
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.605207
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,0
timing__setup_r2r__ws__corner:max_ss_125C_3v00,0.129658
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__unannotated_net__count__corner:max_ss_125C_3v00,28
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,0
design__max_cap_violation__count__corner:max_ff_n40C_3v60,1
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.21730465264506757
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.22442667803831134
timing__hold__ws__corner:max_ff_n40C_3v60,0.29502146005656144
timing__setup__ws__corner:max_ff_n40C_3v60,4.851179151254458
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.295021
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,14.589375
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,28
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count,28
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_3v30,3.2999
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_3v30,3.29997
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_3v30,0.0000983757
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_3v30,0.0000913341
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_3v30,0.0000281595
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_3v30,0.0000913341
design_powergrid__voltage__worst,0.0000913341
design_powergrid__voltage__worst__net:VPWR,3.2999
design_powergrid__drop__worst,0.0000983757
design_powergrid__drop__worst__net:VPWR,0.0000983757
design_powergrid__voltage__worst__net:VGND,0.0000913341
design_powergrid__drop__worst__net:VGND,0.0000913341
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.000028399999999999999138362849482319916205597110092639923095703125
ir__drop__worst,0.00009840000000000000655864251797311226255260407924652099609375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
